,precision,recall,f1-score,support
alureon,0.3291139240506329,0.057777777777777775,0.09829867674858223,900.0
banjori,0.9922822491730982,1.0,0.9961261759822911,900.0
bedep,0.45526315789473687,0.5766666666666667,0.5088235294117647,900.0
ccleaner,0.96875,0.9988888888888889,0.9835886214442013,900.0
chinad,0.7216238608119304,0.9677777777777777,0.8267679164689131,900.0
corebot,0.9481481481481482,0.9955555555555555,0.9712737127371274,900.0
cryptolocker,0.351937984496124,0.25222222222222224,0.29385113268608415,900.0
dircrypt,0.3583535108958838,0.16444444444444445,0.22543792840822544,900.0
dyre,0.9977827050997783,1.0,0.9988901220865705,900.0
fobber_v1,0.8056918547595682,0.9122222222222223,0.8556539864512767,900.0
fobber_v2,0.29555125725338494,0.8488888888888889,0.43845050215208037,900.0
gozi_gpl,0.8022181146025879,0.9644444444444444,0.875882946518668,900.0
gozi_luther,0.4368279569892473,0.7222222222222222,0.5443886097152428,900.0
gozi_nasa,0.4124293785310734,0.0811111111111111,0.1355617455896007,900.0
gozi_rfc4343,0.43966323666978485,0.5222222222222223,0.4773996952767902,900.0
kraken_v1,0.6102719033232629,0.6733333333333333,0.6402535657686212,900.0
kraken_v2,0.380718954248366,0.2588888888888889,0.30820105820105814,900.0
locky,0.33447098976109213,0.10888888888888888,0.16429170159262363,900.0
matsnu,0.765409383624655,0.9244444444444444,0.8374433819828888,900.0
murofet_v1,0.9755826859045506,0.9766666666666667,0.9761243753470296,900.0
murofet_v2,0.7508620689655172,0.9677777777777777,0.8456310679611649,900.0
murofet_v3,0.9933701657458563,0.9988888888888889,0.9961218836565097,900.0
necurs,0.618421052631579,0.10444444444444445,0.17870722433460076,900.0
nymaim,0.8010471204188482,0.68,0.7355769230769231,900.0
padcrypt,0.8038147138964578,0.9833333333333333,0.8845577211394303,900.0
pizd,0.48302687411598305,0.7588888888888888,0.5903197925669836,900.0
proslikefan,0.42828282828282827,0.4711111111111111,0.4486772486772486,900.0
pushdo,0.701310861423221,0.8322222222222222,0.7611788617886177,900.0
pykspa,0.27126099706744866,0.20555555555555555,0.2338811630847029,900.0
pykspa_noise,0.2631578947368421,0.10555555555555556,0.1506740681998414,900.0
qadars,0.8490566037735849,0.85,0.84952803997779,900.0
qakbot,0.6728395061728395,0.36333333333333334,0.47186147186147187,900.0
ramdo,0.9368770764119602,0.94,0.9384359400998336,900.0
ramnit,0.28859060402684567,0.14333333333333334,0.1915367483296214,900.0
ranbyus_v1,0.5775862068965517,0.67,0.6203703703703703,900.0
ranbyus_v2,0.6959537572254335,0.6688888888888889,0.6821529745042493,900.0
rovnix,0.8651079136690647,0.5344444444444445,0.6607142857142857,900.0
shiotob,0.5021422450728363,0.6511111111111111,0.5670053217223028,900.0
simda,0.6717267552182163,0.7866666666666666,0.7246673490276356,900.0
sisron,0.8387096774193549,0.9822222222222222,0.9048106448311156,900.0
suppobox_1,0.6271186440677966,0.2877777777777778,0.3945163747143945,900.0
suppobox_2,0.7320754716981132,0.8622222222222222,0.7918367346938775,900.0
suppobox_3,0.8293153326904532,0.9555555555555556,0.8879710893133712,900.0
symmi,0.9657079646017699,0.97,0.967849223946785,900.0
tempedreve,0.346123727486296,0.4911111111111111,0.40606338998621955,900.0
tinba,0.4472573839662447,0.4711111111111111,0.4588744588744588,900.0
vawtrak_v1,0.9393305439330544,0.9977777777777778,0.9676724137931034,900.0
vawtrak_v2,0.43157894736842106,0.7288888888888889,0.5421487603305785,900.0
vawtrak_v3,0.5093023255813953,0.24333333333333335,0.3293233082706767,900.0
zeus-newgoz,0.9877094972067039,0.9822222222222222,0.984958217270195,900.0
legit,0.5329341317365269,0.49444444444444446,0.5129682997118156,900.0
accuracy,0.6507625272331155,0.6507625272331155,0.6507625272331155,0.6507625272331155
macro avg,0.6420331401910969,0.6507625272331155,0.6242607991450944,45900.0
weighted avg,0.642033140191097,0.6507625272331155,0.6242607991450944,45900.0
