,precision,recall,f1-score,support
alureon,0.13987138263665594,0.09666666666666666,0.114323258869908,900.0
banjori,0.995575221238938,1.0,0.9977827050997783,900.0
bedep,0.5906562847608454,0.59,0.5903279599777653,900.0
ccleaner,0.9719222462203023,1.0,0.9857612267250822,900.0
chinad,0.8909465020576132,0.9622222222222222,0.9252136752136753,900.0
corebot,0.9673202614379085,0.9866666666666667,0.9768976897689768,900.0
cryptolocker,0.3393801965230537,0.4988888888888889,0.40395861448493026,900.0
dircrypt,0.4044943820224719,0.2,0.2676579925650558,900.0
dyre,1.0,1.0,1.0,900.0
fobber_v1,0.7733217088055798,0.9855555555555555,0.8666340986809967,900.0
fobber_v2,0.33133086876155265,0.7966666666666666,0.4680156657963446,900.0
gozi_gpl,0.8513157894736842,0.7188888888888889,0.7795180722891567,900.0
gozi_luther,0.6578616352201258,0.5811111111111111,0.6171091445427729,900.0
gozi_nasa,0.39915966386554624,0.31666666666666665,0.3531598513011152,900.0
gozi_rfc4343,0.4517937219730942,0.4477777777777778,0.44977678571428575,900.0
kraken_v1,0.9382151029748284,0.45555555555555555,0.6133133881824981,900.0
kraken_v2,0.3621533442088091,0.49333333333333335,0.4176857949200376,900.0
locky,0.34408602150537637,0.17777777777777778,0.23443223443223443,900.0
matsnu,0.931899641577061,0.8666666666666667,0.8981001727115717,900.0
murofet_v1,0.9587404994571118,0.9811111111111112,0.9697968149368479,900.0
murofet_v2,0.7787610619469026,0.9777777777777777,0.8669950738916256,900.0
murofet_v3,1.0,0.9955555555555555,0.9977728285077951,900.0
necurs,0.4710526315789474,0.1988888888888889,0.27968750000000003,900.0
nymaim,0.8801916932907349,0.6122222222222222,0.7221494102228048,900.0
padcrypt,0.9692307692307692,0.98,0.9745856353591159,900.0
pizd,0.5545634920634921,0.6211111111111111,0.5859538784067087,900.0
proslikefan,0.5868102288021534,0.48444444444444446,0.5307364576993305,900.0
pushdo,0.6335311572700296,0.9488888888888889,0.7597864768683273,900.0
pykspa,0.253411306042885,0.14444444444444443,0.18400566171266805,900.0
pykspa_noise,0.3480453972257251,0.30666666666666664,0.3260484347312463,900.0
qadars,0.9440559440559441,0.75,0.8359133126934983,900.0
qakbot,0.8729281767955801,0.3511111111111111,0.5007923930269413,900.0
ramdo,0.9802847754654983,0.9944444444444445,0.9873138444567017,900.0
ramnit,0.3111954459203036,0.36444444444444446,0.3357215967246674,900.0
ranbyus_v1,0.5447227191413238,0.6766666666666666,0.6035678889990089,900.0
ranbyus_v2,0.758578431372549,0.6877777777777778,0.7214452214452214,900.0
rovnix,0.49745083758193737,0.7588888888888888,0.6009678838539375,900.0
shiotob,0.7563025210084033,0.7,0.7270628967109058,900.0
simda,0.6430622009569378,0.7466666666666667,0.6910025706940874,900.0
sisron,0.9201637666325486,0.9988888888888889,0.9579115610015984,900.0
suppobox_1,0.6324786324786325,0.49333333333333335,0.5543071161048689,900.0
suppobox_2,0.7410468319559229,0.8966666666666666,0.8114630467571644,900.0
suppobox_3,0.8353057199211046,0.9411111111111111,0.8850574712643678,900.0
symmi,0.9248197734294542,0.9977777777777778,0.9599144842330305,900.0
tempedreve,0.5209656925031766,0.45555555555555555,0.48606994665085945,900.0
tinba,0.4304889741131352,0.4988888888888889,0.46217189912506434,900.0
vawtrak_v1,0.9316770186335404,1.0,0.9646302250803859,900.0
vawtrak_v2,0.417910447761194,0.43555555555555553,0.426550598476605,900.0
vawtrak_v3,0.42613636363636365,0.5833333333333334,0.4924953095684803,900.0
zeus-newgoz,0.9988662131519275,0.9788888888888889,0.9887766554433222,900.0
legit,0.8464912280701754,0.4288888888888889,0.5693215339233038,900.0
accuracy,0.6698910675381263,0.6698910675381263,0.6698910675381263,0.6698910675381263
macro avg,0.6805994887599579,0.6698910675381264,0.6611694894087584,45900.0
weighted avg,0.6805994887599578,0.6698910675381263,0.6611694894087584,45900.0
