,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,146,0,0,0,0,0,0,0,0,0,630,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,19,50,0,1
banjori,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,0,0,724,0,0,0,1,60,0,0,1,0,7,10,16,7,2,0,0,0,0,0,1,0,7,0,0,10,0,0,1,1,1,27,1,0,0,8,0,6,0,0,0,0,0,9,0,0,0,0,0
ccleaner,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,7,6,858,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0
corebot,0,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
cryptolocker,0,0,74,0,2,0,147,14,0,45,0,18,4,0,2,24,7,91,1,0,111,0,6,19,5,3,0,14,0,1,0,10,4,13,141,71,0,0,0,22,22,0,1,5,0,23,0,0,0,0,0
dircrypt,27,5,350,0,0,0,0,98,0,0,158,0,17,14,13,9,5,0,0,0,0,0,0,0,5,0,0,24,0,0,0,51,0,33,4,0,0,4,1,16,0,0,0,0,0,33,0,8,19,3,3
dyre,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,2,38,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,8,0,0,0,0,0,0,0
fobber_v2,160,0,0,0,0,0,0,0,0,0,595,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,5,0,17,56,0,1
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,771,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,0,0,0,0,0,0,0,1,0,0,0,0,470,303,69,0,0,0,40,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
gozi_nasa,0,0,1,0,0,0,0,0,0,0,0,0,125,492,241,0,0,0,37,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gozi_rfc4343,0,0,5,0,0,0,0,1,0,0,0,0,101,393,377,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1
