
Test Phase Duration: 0:57:38 (HH:MM:SS)

Class report: 
              precision    recall  f1-score   support

     alureon     0.2696    0.7122    0.3911       900
     banjori     1.0000    1.0000    1.0000       900
       bedep     0.4020    0.7222    0.5165       900
    ccleaner     0.9677    1.0000    0.9836       900
      chinad     0.7947    0.8389    0.8162       900
     corebot     0.9989    0.9867    0.9927       900
cryptolocker     0.3310    0.5767    0.4206       900
    dircrypt     0.3964    0.1722    0.2401       900
        dyre     0.9967    0.9989    0.9978       900
   fobber_v1     0.7578    0.9700    0.8509       900
   fobber_v2     0.2296    0.1378    0.1722       900
    gozi_gpl     0.9303    0.9189    0.9245       900
 gozi_luther     0.8783    0.7856    0.8293       900
   gozi_nasa     0.6533    0.7222    0.6860       900
gozi_rfc4343     0.7717    0.5333    0.6307       900
   kraken_v1     0.7392    0.7589    0.7489       900
   kraken_v2     0.6108    0.4256    0.5016       900
       locky     0.5258    0.2944    0.3775       900
      matsnu     0.8612    0.9722    0.9134       900
  murofet_v1     0.9623    0.9922    0.9770       900
  murofet_v2     0.7910    0.9711    0.8718       900
  murofet_v3     0.9955    0.9922    0.9939       900
      necurs     0.7740    0.1256    0.2161       900
      nymaim     0.9235    0.8311    0.8749       900
    padcrypt     0.9785    0.9622    0.9703       900
        pizd     0.7824    0.7111    0.7451       900
 proslikefan     0.4927    0.5278    0.5097       900
      pushdo     0.9178    0.8811    0.8991       900
      pykspa     0.2814    0.1744    0.2154       900
pykspa_noise     0.2850    0.4233    0.3406       900
      qadars     0.7144    0.8756    0.7868       900
      qakbot     0.8805    0.2867    0.4325       900
       ramdo     0.8636    0.9989    0.9263       900
      ramnit     0.1386    0.0256    0.0432       900
  ranbyus_v1     0.5947    0.6456    0.6191       900
  ranbyus_v2     0.6334    0.6489    0.6411       900
      rovnix     0.7469    0.8722    0.8047       900
     shiotob     0.5915    0.5856    0.5885       900
       simda     0.8307    0.7144    0.7682       900
      sisron     0.9934    1.0000    0.9967       900
  suppobox_1     0.7561    0.8300    0.7913       900
  suppobox_2     0.8470    0.9722    0.9053       900
  suppobox_3     0.9232    0.9878    0.9544       900
       symmi     0.9836    0.9978    0.9906       900
  tempedreve     0.4424    0.3544    0.3936       900
       tinba     0.4500    0.3800    0.4120       900
  vawtrak_v1     0.9709    1.0000    0.9852       900
  vawtrak_v2     0.9173    0.8500    0.8824       900
  vawtrak_v3     0.7834    0.9044    0.8396       900
 zeus-newgoz     0.9854    0.9756    0.9805       900
       legit     0.6595    0.5833    0.6191       900

    accuracy                         0.7178     45900
   macro avg     0.7256    0.7178    0.7053     45900
weighted avg     0.7256    0.7178    0.7053     45900

F1 Score, Precision and Recall: 
              Macro   Micro
F1 Score   0.705266  0.7178
Precision  0.725598  0.7178
Recall     0.717800  0.7178

Overall accuracy = 0.7177995642701525

Confusion matrix:
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon           641        0      0         0       0        0   
banjori             0      900      0         0       0        0   
bedep              19        0    650         0       1        0   
ccleaner            0        0      0       900       0        0   
chinad              0        0      7         1     755        0   
corebot             0        0      0         0       0      888   
cryptolocker        8        0     66         0       4        0   
dircrypt          183        0    319         0       6        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       9        0   
fobber_v2         661        0      2         0       0        0   
gozi_gpl            0        0      0         0       1        0   
gozi_luther         1        0      3         0       0        0   
gozi_nasa           1        0      3         0       0        0   
gozi_rfc4343        1        0      7         0       0        0   
kraken_v1           0        0      0         0       1        0   
kraken_v2         129        0     10         0       0        0   
locky               0        0      0         0       6        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       1        0   
murofet_v2          0        0      0         0       2        0   
murofet_v3          0        0      0         0       1        0   
necurs              4        0      5         0      10        0   
nymaim              2        0      1         0       0        0   
padcrypt            0        0      8         0       2        0   
pizd                0        0      0         0       0        0   
proslikefan        48        0      0         0       0        0   
pushdo             14        0      1         0       0        0   
pykspa             49        0      0         0       1        0   
pykspa_noise       51        0      2         0       0        0   
qadars              1        0      9         6       0        0   
qakbot             28        0     39         0      20        0   
ramdo               0        0      0         0       0        0   
ramnit            237        0    291         0       1        0   
ranbyus_v1          0        0     46         0       4        0   
ranbyus_v2          0        0     77         0       8        0   
rovnix              0        0      0         0       2        0   
shiotob            26        0     35         4      96        0   
simda              21        0      0         0       0        0   
sisron              0        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        1   
tempedreve        153        0      0         0       0        0   
tinba              71        0     35         0       1        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2          7        0      0         0       0        0   
vawtrak_v3          8        0      0         0       0        0   
zeus-newgoz         0        0      0         0      18        0   
legit              14        0      1        19       0        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  1         1     0          0        148         0   
banjori                  0         0     0          0          0         0   
bedep                   47        49     0          0          4         0   
ccleaner                 0         0     0          0          0         0   
chinad                   7         0     0          2          0         0   
corebot                  0         0     0          0          0         0   
cryptolocker           519         2     0         33          0         1   
dircrypt                45       155     0          0         53         0   
dyre                     0         0   899          0          0         0   
fobber_v1                1         0     0        873          0         0   
fobber_v2                0         1     0          0        124         0   
gozi_gpl                 6         0     0          0          0       827   
gozi_luther              0         1     0          0          0         0   
gozi_nasa                2         4     0          0          0         0   
gozi_rfc4343             2         4     0          0          0         0   
kraken_v1               13         0     0          0          0         0   
kraken_v2               26         7     0          0         31         0   
locky                  138         0     0          1          0         0   
matsnu                   0         0     0          0          0         0   
murofet_v1               2         0     0          0          0         0   
murofet_v2              20         0     0          0          0         0   
murofet_v3               0         0     0          0          0         0   
necurs                  50         5     0         18          2         1   
nymaim                   0         0     0          0          0        12   
padcrypt                 6         0     0          1          0         0   
pizd                     1         0     0          0          0         0   
proslikefan              9         0     0          0         12         2   
pushdo                   1         3     0          0          4         0   
pykspa                  77         0     0          0         11         0   
pykspa_noise            85         0     0          2         11         0   
qadars                   7         0     0          0          0         0   
qakbot                 138        43     0         72          4         0   
ramdo                    0         0     0          0          0         0   
ramnit                  48        82     0          0         69         0   
ranbyus_v1             141         0     0         22          0         0   
