,precision,recall,f1-score,support
alureon,0.28345959595959597,0.4988888888888889,0.3615136876006441,900.0
banjori,1.0,1.0,1.0,900.0
bedep,0.47920133111480867,0.64,0.5480494766888677,900.0
ccleaner,0.9900662251655629,0.9966666666666667,0.9933554817275748,900.0
chinad,0.8964646464646465,0.7888888888888889,0.8392434988179669,900.0
corebot,0.9943502824858758,0.9777777777777777,0.9859943977591036,900.0
cryptolocker,0.4283965728274174,0.3888888888888889,0.40768782760629,900.0
dircrypt,0.30707070707070705,0.1688888888888889,0.21792114695340503,900.0
dyre,0.9933701657458563,0.9988888888888889,0.9961218836565097,900.0
fobber_v1,0.7686635944700461,0.9266666666666666,0.840302267002519,900.0
fobber_v2,0.25,0.37555555555555553,0.30017761989342806,900.0
gozi_gpl,0.9386437029063509,0.9688888888888889,0.953526517222526,900.0
gozi_luther,0.7935871743486974,0.88,0.8345626975763961,900.0
gozi_nasa,0.6363636363636364,0.8166666666666667,0.7153284671532846,900.0
gozi_rfc4343,0.8178368121442126,0.47888888888888886,0.6040644709180097,900.0
kraken_v1,0.7040261153427638,0.7188888888888889,0.7113798790544255,900.0
kraken_v2,0.49122807017543857,0.4666666666666667,0.4786324786324786,900.0
locky,0.6222222222222222,0.37333333333333335,0.4666666666666667,900.0
matsnu,0.8203883495145631,0.9388888888888889,0.8756476683937824,900.0
murofet_v1,0.9685124864277959,0.9911111111111112,0.9796814936847886,900.0
murofet_v2,0.7425249169435216,0.9933333333333333,0.8498098859315589,900.0
murofet_v3,1.0,0.9944444444444445,0.9972144846796658,900.0
necurs,0.6828571428571428,0.26555555555555554,0.3824,900.0
nymaim,0.8780487804878049,0.84,0.858603066439523,900.0
padcrypt,0.9477693144722524,0.9677777777777777,0.9576690489279824,900.0
pizd,0.7240723120837298,0.8455555555555555,0.780112762685802,900.0
proslikefan,0.46897810218978103,0.5711111111111111,0.5150300601202406,900.0
pushdo,0.939820742637644,0.8155555555555556,0.8732897085068413,900.0
pykspa,0.24210526315789474,0.12777777777777777,0.1672727272727273,900.0
pykspa_noise,0.29046563192904656,0.2911111111111111,0.29078801331853493,900.0
qadars,0.8226652675760755,0.8711111111111111,0.8461953588774959,900.0
qakbot,0.5888030888030888,0.3388888888888889,0.43018335684062065,900.0
ramdo,0.9322210636079249,0.9933333333333333,0.9618074233458849,900.0
ramnit,0.2831858407079646,0.17777777777777778,0.21843003412969283,900.0
ranbyus_v1,0.5383920505871725,0.6622222222222223,0.5939212755356252,900.0
ranbyus_v2,0.675177304964539,0.5288888888888889,0.5931464174454828,900.0
rovnix,0.9629629629629629,0.8088888888888889,0.8792270531400965,900.0
shiotob,0.6641630901287554,0.6877777777777778,0.675764192139738,900.0
simda,0.8441558441558441,0.8666666666666667,0.8552631578947368,900.0
sisron,0.982532751091703,1.0,0.9911894273127753,900.0
suppobox_1,0.8350383631713555,0.7255555555555555,0.7764565992865636,900.0
suppobox_2,0.8562753036437247,0.94,0.896186440677966,900.0
suppobox_3,0.9511158342189161,0.9944444444444445,0.9722976643128735,900.0
symmi,0.9857456140350878,0.9988888888888889,0.9922737306843267,900.0
tempedreve,0.3495639534883721,0.5344444444444445,0.4226713532513181,900.0
tinba,0.4621212121212121,0.4066666666666667,0.43262411347517726,900.0
vawtrak_v1,0.9750542299349241,0.9988888888888889,0.986827661909989,900.0
vawtrak_v2,0.8732057416267942,0.8111111111111111,0.8410138248847926,900.0
vawtrak_v3,0.753514526710403,0.8933333333333333,0.8174885612608032,900.0
zeus-newgoz,0.9601293103448276,0.99,0.9748358862144421,900.0
legit,0.7884057971014493,0.6044444444444445,0.6842767295597485,900.0
accuracy,0.7243137254901961,0.7243137254901961,0.7243137254901961,0.7243137254901961
macro avg,0.7291161382057276,0.724313725490196,0.7181201499425821,45900.0
weighted avg,0.7291161382057277,0.7243137254901961,0.7181201499425822,45900.0
