,precision,recall,f1-score,support
alureon,0.28334680533061285,0.42333333333333334,0.3273409830794504,900.0
banjori,0.9991125898545838,1.0,0.999555925583333,900.0
bedep,0.49960761595038433,0.5866666666666667,0.5312804624126833,900.0
ccleaner,0.9864779846896047,0.9973333333333333,0.9918453420819681,900.0
chinad,0.8493941827230739,0.8351111111111111,0.8408579087835308,900.0
corebot,0.9957389028091465,0.9813333333333334,0.9884634828965032,900.0
cryptolocker,0.37509374383456795,0.42666666666666664,0.39074405975443105,900.0
dircrypt,0.31668286752778274,0.27111111111111114,0.27385248613601415,900.0
dyre,0.9957863471874969,0.9971111111111112,0.9964449209115536,900.0
fobber_v1,0.7546662280030092,0.9193333333333331,0.8271238804594638,900.0
fobber_v2,0.27488805065018496,0.2917777777777778,0.2745353001130229,900.0
gozi_gpl,0.9042511019947039,0.9593333333333334,0.9304561671508653,900.0
gozi_luther,0.7989243721617465,0.852,0.8227362549815191,900.0
gozi_nasa,0.639993620127229,0.7553333333333333,0.691987605736375,900.0
gozi_rfc4343,0.7617868399517693,0.5466666666666666,0.6323336360276561,900.0
kraken_v1,0.7633158488746917,0.6877777777777777,0.7202330282011129,900.0
kraken_v2,0.4893376930811667,0.48822222222222217,0.4820950555559129,900.0
locky,0.4973951696322225,0.3751111111111111,0.42097337301588594,900.0
matsnu,0.870481878867652,0.9522222222222222,0.9086041675509886,900.0
murofet_v1,0.9608519837435242,0.99,0.9751707982011105,900.0
murofet_v2,0.7614188497617402,0.9735555555555555,0.8536805737425095,900.0
murofet_v3,0.9975428746953028,0.9924444444444445,0.9949853155716472,900.0
necurs,0.6342477777123204,0.2551111111111111,0.3521715189167092,900.0
nymaim,0.8574356040554152,0.844,0.8496417357765154,900.0
padcrypt,0.9324569326697929,0.9642222222222221,0.9475410565421829,900.0
pizd,0.7619807006121981,0.7755555555555557,0.7655151000740716,900.0
proslikefan,0.5364753351391659,0.4753333333333334,0.49804397511576626,900.0
pushdo,0.8677780897237296,0.8911111111111112,0.8758080571413253,900.0
pykspa,0.2764954206012408,0.21200000000000002,0.2311607524160185,900.0
pykspa_noise,0.2964142016675916,0.24866666666666667,0.2569203503544202,900.0
qadars,0.803587776806847,0.8495555555555555,0.8239840622223801,900.0
qakbot,0.6586562714758006,0.33599999999999997,0.43915606776453153,900.0
ramdo,0.8909554671122807,0.9917777777777779,0.9379850723316709,900.0
ramnit,0.21617825434085605,0.17177777777777778,0.18269099128329527,900.0
ranbyus_v1,0.5866222463458246,0.5993333333333334,0.5908310036612768,900.0
ranbyus_v2,0.6111120122349374,0.6262222222222222,0.6138390472528885,900.0
rovnix,0.8733631761193719,0.8408888888888889,0.8530656055904844,900.0
shiotob,0.6956616657235116,0.612,0.6486359598481896,900.0
simda,0.8169070473606744,0.8564444444444446,0.8335537188256532,900.0
sisron,0.9832067679116527,1.0,0.9915246960368794,900.0
suppobox_1,0.80151183098623,0.805111111111111,0.8002846472541563,900.0
suppobox_2,0.8417133334418596,0.9546666666666667,0.8943516827472511,900.0
suppobox_3,0.9341816368081304,0.9866666666666667,0.9594141147935126,900.0
symmi,0.9821192259644359,0.9982222222222223,0.9900908222428374,900.0
tempedreve,0.4191032009359626,0.4551111111111112,0.4275933453076088,900.0
tinba,0.4326198618318816,0.36977777777777776,0.3887693629035838,900.0
vawtrak_v1,0.9661341978821282,0.9993333333333334,0.982433748225094,900.0
vawtrak_v2,0.8806807146726439,0.8857777777777777,0.881456865472597,900.0
vawtrak_v3,0.8237595047323696,0.8662222222222222,0.8415121987296363,900.0
zeus-newgoz,0.9797196156786161,0.9788888888888889,0.9792372149570022,900.0
legit,0.6583714805943803,0.6159999999999999,0.6335158023773506,900.0
accuracy,0.7209455337690632,0.7209455337690632,0.7209455337690632,0.7209455337690632
macro avg,0.7214812725998834,0.7209455337690632,0.7126672412571062,45900.0
weighted avg,0.7214812725998831,0.7209455337690632,0.7126672412571063,45900.0
