,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,271,0,0,0,0,0,0,38,0,0,306,0,0,0,1,1,107,0,1,0,0,0,0,0,2,0,1,32,9,0,0,0,0,42,1,0,0,18,0,0,0,0,0,0,15,9,0,15,6,0,25
banjori,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,12,0,458,0,1,0,55,85,0,0,8,0,1,7,8,2,19,0,2,0,0,0,2,1,7,1,0,19,0,0,2,0,2,91,3,78,0,24,0,1,0,0,0,0,2,9,0,0,0,0,0
ccleaner,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,9,0,796,1,5,0,0,3,0,0,0,0,1,1,0,1,0,0,5,0,0,0,4,0,0,0,0,0,31,10,1,1,1,0,0,22,0,1,0,0,0,0,0,1,0,0,0,6,0
corebot,0,0,0,0,0,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,4,0
cryptolocker,4,0,20,0,5,0,444,7,0,20,0,11,2,3,0,2,6,71,0,0,74,0,6,6,12,7,1,5,4,4,3,40,4,40,23,11,1,4,0,0,3,0,2,0,22,31,0,1,1,0,0
dircrypt,66,0,136,0,2,0,49,188,0,0,104,0,8,16,3,4,52,0,2,0,0,0,0,0,6,0,5,28,1,0,0,4,1,100,6,70,0,2,2,0,0,0,0,0,8,9,0,10,1,0,17
dyre,0,0,0,0,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fobber_v1,0,0,0,0,2,0,16,0,0,728,0,0,0,0,0,0,0,2,0,0,1,0,7,0,17,2,0,1,1,0,1,41,6,0,11,33,9,0,0,4,3,0,12,2,0,0,1,0,0,0,0
fobber_v2,273,0,2,0,0,0,0,21,0,0,311,0,0,0,2,7,110,0,3,0,0,0,1,0,3,0,2,35,7,0,0,0,0,41,0,0,0,16,0,1,0,0,0,0,14,9,0,13,5,0,24
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gozi_luther,0,0,0,0,0,0,0,0,0,0,0,0,761,70,37,0,0,0,2,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,1,0,5
gozi_nasa,0,0,0,0,0,0,0,1,0,0,0,0,65,629,103,0,0,0,29,0,0,0,0,10,0,0,0,2,0,0,0,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,2,2,0,12
gozi_rfc4343,0,0,0,0,0,0,0,2,0,0,0,1,56,174,560,0,0,0,35,0,0,0,0,8,3,0,0,1,0,0,0,0,0,1,0,0,42,0,0,0,0,0,2,0,0,0,0,0,1,0,14
kraken_v1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,634,253,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2
kraken_v2,43,0,2,0,0,0,10,11,0,0,63,0,0,0,0,164,484,5,0,0,0,0,3,2,3,0,24,9,9,0,0,0,4,14,4,0,0,4,2,2,0,0,0,0,7,7,0,2,5,0,17
locky,0,0,0,0,4,0,88,0,0,0,0,12,0,0,0,3,3,345,0,0,38,0,80,15,6,0,71,7,33,5,1,21,3,0,41,58,1,1,6,0,0,0,0,0,33,21,0,0,0,0,4
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,881,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
murofet_v1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,4,0,885,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,4,0,31,0,0,0,0,0,0,0,0,0,0,14,0,0,845,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,4,0,0,0,1,0,33,5,0,11,4,2,0,2,0,1,16,57,0,6,9,0,284,15,10,3,71,16,9,0,0,11,2,3,91,178,5,0,10,0,1,1,0,0,9,17,4,0,0,0,9
nymaim,0,0,0,0,0,0,0,0,0,0,0,12,2,1,1,0,0,3,27,0,0,0,0,756,2,4,1,5,0,0,0,0,0,0,0,0,24,0,1,0,19,8,14,0,0,0,5,0,2,0,13
padcrypt,0,0,0,0,0,0,1,0,0,0,0,0,2,5,9,0,0,0,0,0,0,0,0,3,868,0,0,0,0,0,0,0,0,1,2,1,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0
