,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,1905,0,6,0,0,0,1,182,0,0,1319,0,3,1,3,1,239,0,6,0,0,0,0,0,4,0,1,55,37,4,2,4,0,260,1,0,0,59,9,1,0,0,0,0,124,141,0,39,35,0,58
banjori,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,42,1,2640,1,4,0,122,726,0,0,49,0,2,11,19,3,31,0,2,0,0,0,2,3,17,1,0,29,1,0,26,9,3,377,31,98,0,117,0,3,0,0,0,0,12,115,0,2,1,0,0
ccleaner,0,0,0,4488,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,45,2,3758,6,21,1,2,27,0,0,1,0,1,2,1,7,0,6,31,0,1,0,6,0,0,0,0,0,248,28,12,5,6,11,0,221,0,2,0,0,1,0,0,1,0,0,0,47,0
corebot,0,0,0,0,0,4416,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,50,0,0,0,0,0,25,0
cryptolocker,18,0,193,0,18,0,1920,110,0,174,11,24,4,3,0,10,22,358,2,3,460,0,28,12,27,21,3,12,29,35,15,173,73,155,140,63,2,34,4,4,5,0,2,0,103,224,2,2,2,0,0
dircrypt,560,0,886,0,11,0,112,1220,0,0,409,0,13,22,11,5,90,0,5,0,0,0,1,0,18,0,18,48,14,0,4,46,5,524,29,90,0,29,12,0,0,0,0,0,62,166,0,24,15,0,51
dyre,0,0,0,0,1,0,0,0,4487,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
fobber_v1,0,0,0,0,16,2,46,0,0,4137,0,0,0,0,0,3,1,2,0,0,1,0,8,0,20,7,0,5,2,1,1,52,15,0,18,81,11,27,0,6,4,0,23,5,0,2,3,1,0,0,0
fobber_v2,1926,0,6,0,0,0,0,200,0,0,1313,0,1,0,4,9,211,0,4,0,0,0,1,0,7,0,2,63,26,7,2,4,0,274,0,0,0,53,4,4,0,0,0,0,139,119,0,32,31,0,58
gozi_gpl,0,0,0,0,1,0,9,0,0,0,0,4317,0,0,0,0,0,1,0,7,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gozi_luther,1,1,4,0,0,0,1,8,0,0,0,1,3834,362,136,0,0,0,24,0,0,0,0,21,3,1,0,16,0,0,0,0,1,7,0,1,28,0,0,0,0,0,4,0,1,1,0,9,16,0,19
gozi_nasa,1,0,4,0,0,0,3,12,0,0,0,0,364,3399,355,0,0,0,98,0,0,0,0,18,1,1,0,8,0,0,0,1,5,9,1,2,133,0,0,0,0,0,0,0,0,4,7,7,12,0,55
gozi_rfc4343,1,0,7,0,0,0,5,19,0,0,0,10,401,1118,2460,0,0,0,145,0,0,0,0,26,12,2,0,3,0,0,1,3,1,26,6,6,163,2,0,1,0,0,3,5,1,2,0,2,5,0,64
kraken_v1,0,0,4,0,2,0,36,1,0,0,0,0,0,0,2,3095,1306,1,0,0,0,0,0,1,4,0,3,0,0,1,0,4,15,4,3,0,0,3,0,0,0,0,0,0,1,3,0,1,1,0,9
kraken_v2,364,0,35,0,0,0,57,77,0,0,276,0,0,0,1,855,2197,12,0,0,0,0,72,3,6,0,77,12,23,2,2,15,38,89,26,0,1,22,11,3,0,0,0,0,31,110,0,9,23,0,51
locky,0,0,0,0,16,0,425,0,0,1,0,22,0,0,0,16,16,1688,0,21,237,0,186,37,12,1,430,21,93,86,13,110,28,0,313,322,5,6,23,0,0,0,0,0,141,224,0,2,0,0,5
matsnu,0,0,0,0,0,0,0,1,0,0,0,0,29,73,38,0,2,0,4285,0,0,0,0,12,2,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,50
murofet_v1,0,0,0,0,4,0,5,0,0,0,0,11,0,0,0,0,0,11,0,4455,0,3,5,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,7,0,76,0,0,0,0,1,0,0,0,0,0,19,0,0,4381,0,0,3,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0
murofet_v3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,4466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,21,0,14,0,16,0,144,27,0,70,17,8,1,2,0,2,68,282,0,54,52,0,1148,31,15,6,482,31,32,27,6,74,16,18,532,829,8,7,32,2,1,2,0,0,89,286,22,1,0,2,23
nymaim,3,0,1,0,0,0,1,1,0,0,1,55,14,15,21,0,1,8,103,0,1,0,9,3798,3,63,19,8,0,3,2,0,0,1,11,1,75,0,19,0,69,30,46,0,4,5,40,3,11,0,55
padcrypt,0,0,23,0,3,0,10,2,0,5,0,0,4,5,20,1,1,3,3,0,0,0,1,6,4339,1,0,4,0,0,1,2,9,12,7,13,7,3,1,6,0,1,5,1,0,1,0,0,0,0,0
pizd,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,3490,0,1,0,4,0,0,0,0,2,0,0,0,0,0,751,170,70,1,0,1,0,1,0,0,0
proslikefan,140,0,0,0,0,0,24,18,0,0,103,14,0,0,1,5,68,141,0,11,74,0,140,17,1,1,2139,6,367,407,0,30,1,9,45,0,0,7,203,1,0,56,1,0,256,71,1,9,6,0,127
pushdo,37,0,13,0,0,0,3,10,0,0,24,0,33,26,6,0,8,6,6,0,0,0,0,12,5,0,1,4010,5,0,0,0,0,23,6,0,0,0,1,10,0,0,0,0,64,21,0,18,130,0,22
pykspa,120,0,5,0,1,0,273,23,0,12,72,0,3,0,0,16,48,65,0,0,0,0,2,8,4,11,266,16,954,1117,10,97,70,44,19,0,0,59,203,3,3,96,2,1,639,112,0,19,10,0,97
pykspa_noise,152,0,5,0,1,0,246,19,0,10,92,0,1,1,0,11,53,58,2,0,0,0,1,7,3,14,221,16,977,1119,11,81,68,74,16,0,0,38,157,8,4,120,4,1,669,94,0,23,23,0,100
qadars,3,1,20,16,58,1,24,3,0,0,2,0,1,1,1,1,5,0,0,0,0,0,0,0,1,6,0,0,25,10,3823,4,20,5,3,0,0,347,0,3,0,0,3,0,28,19,61,4,0,0,1
qakbot,72,0,113,0,36,1,424,211,0,333,40,0,2,0,1,9,22,73,0,35,380,0,15,9,14,7,150,12,158,163,16,1512,94,77,36,41,14,16,9,2,2,10,6,0,289,79,0,0,5,7,5
ramdo,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,4,0,0,8,1,0,4,6,4463,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,710,1,732,0,2,0,131,761,0,0,488,0,9,19,23,4,79,0,7,0,0,0,1,1,15,0,19,47,22,2,3,11,2,773,50,146,0,31,8,3,0,0,0,1,45,236,0,37,22,0,59
ranbyus_v1,0,0,170,0,6,0,523,58,0,127,0,2,0,2,2,8,19,169,0,0,1,0,82,44,31,9,1,13,1,1,10,48,49,96,2697,161,0,20,1,4,4,0,1,1,8,131,0,0,0,0,0
ranbyus_v2,0,0,170,0,19,0,35,180,0,511,0,1,4,0,8,4,3,95,0,2,6,0,102,27,38,1,0,3,0,0,3,5,26,135,283,2818,4,2,0,3,1,0,9,1,0,1,0,0,0,0,0
rovnix,0,0,0,0,4,0,0,0,0,5,0,259,56,176,90,0,0,0,8,0,0,0,0,32,0,8,0,0,0,0,0,0,0,0,0,0,3784,0,0,0,7,0,70,0,0,0,0,0,0,0,1
shiotob,54,0,232,12,398,0,56,28,0,62,56,0,0,1,1,2,7,0,1,0,0,0,2,0,7,9,2,4,62,61,509,6,0,35,18,3,0,2754,0,0,1,4,1,0,64,38,0,4,3,0,3
simda,29,0,0,0,0,0,3,3,0,0,30,1,0,0,0,0,9,11,0,0,0,0,20,46,0,1,77,41,69,81,0,0,0,3,0,0,0,0,3854,0,1,0,0,0,19,3,6,7,14,0,172
sisron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0
suppobox_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,738,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3623,93,36,1,0,0,0,0,0,0,0
suppobox_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,103,0,0,9,28,0,0,0,0,0,0,0,0,0,0,49,4296,8,1,1,0,0,0,0,0,3
suppobox_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,28,0,0,0,3,1,4440,1,0,0,0,0,0,0,0
symmi,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4492,0,0,0,0,0,0,0
tempedreve,432,0,1,0,0,0,31,28,0,1,253,0,0,0,0,1,36,46,1,0,0,0,2,14,0,25,40,42,509,616,24,27,0,48,0,0,0,43,54,4,5,27,5,0,2048,93,0,4,16,0,24
tinba,151,0,116,0,2,0,460,132,0,11,122,3,4,7,6,15,34,439,7,0,146,0,63,14,33,24,12,23,22,51,9,20,1,334,310,5,0,48,0,1,8,3,0,9,182,1664,0,3,0,0,6
vawtrak_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4497,0,0,0,0
vawtrak_v2,10,0,0,0,0,0,0,1,0,0,35,0,3,0,4,0,1,0,3,0,0,0,0,0,0,1,2,5,1,0,0,0,0,7,0,0,0,1,2,3,0,0,0,0,1,1,0,3986,270,0,163
vawtrak_v3,11,0,0,0,0,0,0,0,0,0,8,0,8,11,11,0,2,0,8,0,0,0,0,4,0,0,1,70,2,0,0,0,0,1,0,0,0,0,8,0,0,0,2,0,2,0,0,232,3898,0,221
zeus-newgoz,0,0,3,0,53,5,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4405,0
legit,30,0,2,31,1,0,3,13,2,3,17,49,27,64,37,6,36,10,217,10,0,1,8,173,2,38,100,40,24,33,33,0,6,20,3,0,2,42,117,0,12,199,15,3,10,3,11,61,214,0,2772
