,precision,recall,f1-score,support
alureon,0.22067901234567902,0.15052631578947367,0.178973717146433,950.0
banjori,1.0,1.0,1.0,950.0
bedep,0.44659442724458204,0.6073684210526316,0.5147190008920606,950.0
ccleaner,0.993704092339979,0.9968421052631579,0.9952706253284288,950.0
chinad,0.9826086956521739,0.8326315789473684,0.9014245014245014,950.0
corebot,1.0,0.9894736842105263,0.9947089947089947,950.0
cryptolocker,0.3901601830663616,0.3589473684210526,0.37390350877192985,950.0
dircrypt,0.29292929292929293,0.12210526315789473,0.1723625557206538,950.0
dyre,1.0,1.0,1.0,950.0
fobber_v1,0.7760199833472107,0.9810526315789474,0.8665736866573687,950.0
fobber_v2,0.27258921791951407,0.7557894736842106,0.40066964285714296,950.0
gozi_gpl,0.9147442326980942,0.96,0.9368258859784283,950.0
gozi_luther,0.8504366812227074,0.82,0.8349410503751339,950.0
gozi_nasa,0.674901185770751,0.7189473684210527,0.6962283384301733,950.0
gozi_rfc4343,0.6695906432748538,0.7231578947368421,0.6953441295546559,950.0
kraken_v1,0.790633608815427,0.6042105263157894,0.684964200477327,950.0
kraken_v2,0.46027742749054223,0.38421052631578945,0.4188181296615031,950.0
locky,0.40344168260038243,0.22210526315789475,0.286490156143924,950.0
matsnu,0.9282051282051282,0.9526315789473684,0.9402597402597404,950.0
murofet_v1,0.9857142857142858,0.9442105263157895,0.964516129032258,950.0
murofet_v2,0.8205854579792257,0.9147368421052632,0.8651070184171229,950.0
murofet_v3,1.0,0.9926315789473684,0.9963021658742736,950.0
necurs,0.52,0.08210526315789474,0.14181818181818184,950.0
nymaim,0.8798235942668137,0.84,0.8594507269789984,950.0
padcrypt,0.9860813704496788,0.9694736842105263,0.9777070063694268,950.0
pizd,0.7047970479704797,0.6031578947368421,0.6500283607487238,950.0
proslikefan,0.40795287187039764,0.5831578947368421,0.4800693240901213,950.0
pushdo,0.8036224976167778,0.8873684210526316,0.8434217108554277,950.0
pykspa,0.2623089983022071,0.32526315789473687,0.29041353383458646,950.0
pykspa_noise,0.29046563192904656,0.27578947368421053,0.28293736501079914,950.0
qadars,0.7386461011139674,0.9073684210526316,0.8143599433160134,950.0
qakbot,0.7752525252525253,0.3231578947368421,0.45616641901931654,950.0
ramdo,0.9721649484536082,0.9926315789473684,0.9822916666666666,950.0
ramnit,0.22935779816513763,0.23684210526315788,0.23303987571206627,950.0
ranbyus_v1,0.4443029917250159,0.7347368421052631,0.5537485124950418,950.0
ranbyus_v2,0.6456876456876457,0.5831578947368421,0.6128318584070797,950.0
rovnix,0.9471698113207547,0.7926315789473685,0.8630372492836677,950.0
shiotob,0.6840796019900498,0.5789473684210527,0.6271379703534777,950.0
simda,0.7302158273381295,0.8547368421052631,0.7875848690591658,950.0
sisron,0.9978142076502732,0.9610526315789474,0.979088471849866,950.0
suppobox_1,0.65625,0.8178947368421052,0.7282099343955013,950.0
suppobox_2,0.8920863309352518,0.9136842105263158,0.9027561102444098,950.0
suppobox_3,0.9842767295597484,0.988421052631579,0.986344537815126,950.0
symmi,0.9947643979057592,1.0,0.9973753280839895,950.0
tempedreve,0.3852813852813853,0.2810526315789474,0.325015216068168,950.0
tinba,0.3640552995391705,0.16631578947368422,0.22832369942196534,950.0
vawtrak_v1,0.9854771784232366,1.0,0.9926854754440961,950.0
vawtrak_v2,0.8481953290870489,0.8410526315789474,0.8446088794926003,950.0
vawtrak_v3,0.7861873226111636,0.8747368421052631,0.828101644245142,950.0
zeus-newgoz,1.0,1.0,1.0,950.0
legit,0.6462018730489074,0.6536842105263158,0.6499215070643642,950.0
accuracy,0.707843137254902,0.707843137254902,0.707843137254902,0.707843137254902
macro avg,0.7144379324727524,0.707843137254902,0.6987623246246284,48450.0
weighted avg,0.7144379324727523,0.707843137254902,0.6987623246246282,48450.0
