,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,143,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,2,0,0,7,9,0,10
banjori,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,0,0,577,0,0,0,0,94,0,0,31,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,0,154,0,2,0,53,0,0,0,0,0,0,0,16,0,1,0,0,1
ccleaner,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,4,1,791,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,3,0,0,2,2,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,1,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0
cryptolocker,0,0,32,0,0,0,341,14,0,29,8,3,1,0,0,3,8,53,0,0,71,0,3,1,2,3,1,8,28,28,0,7,3,63,151,14,0,1,4,0,1,0,0,0,17,50,0,2,0,0,0
dircrypt,53,0,274,0,0,0,0,116,0,0,226,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,19,0,0,0,6,0,218,0,5,0,1,2,0,0,0,0,0,0,7,0,4,6,0,5
dyre,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,1,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fobber_v2,162,0,0,0,0,0,0,1,0,0,718,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,15,1,1,0,0,0,4,0,0,0,0,5,0,0,0,0,0,1,0,0,12,16,0,8
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,912,0,0,0,0,0,2,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,0,0,0,0,0,0,0,1,0,0,0,0,779,68,75,0,0,0,2,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,5
gozi_nasa,0,0,0,0,0,0,0,2,0,0,0,0,65,683,159,0,0,0,18,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,9
gozi_rfc4343,0,0,1,0,0,0,0,3,0,0,0,0,50,180,687,0,0,0,9,0,0,0,0,2,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,7
kraken_v1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,574,336,0,0,0,0,0,0,4,0,0,1,0,9,3,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,5
kraken_v2,35,0,3,0,0,0,12,5,0,0,153,0,0,0,0,140,365,16,0,0,0,0,4,1,0,0,102,7,17,7,0,1,1,17,6,0,0,0,6,0,0,0,0,0,13,23,0,7,0,0,9
locky,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,1,3,211,0,0,27,0,31,6,0,0,176,5,29,17,0,9,3,0,182,62,0,0,13,0,0,0,0,0,29,27,0,0,0,0,0
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,1,18,14,0,0,0,905,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9
murofet_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,0,0,20,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,869,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,3,0,4,0,0,0,22,2,0,12,5,0,0,0,0,0,3,70,0,3,7,0,78,1,0,0,235,13,10,8,0,17,0,4,206,185,0,0,12,0,1,0,0,0,10,37,0,0,0,0,2
nymaim,0,0,0,0,0,0,0,0,0,0,0,8,1,5,8,0,0,0,20,0,0,0,0,798,0,15,4,4,0,0,0,1,0,0,2,0,20,0,7,0,26,2,3,0,0,0,6,1,1,0,18
padcrypt,0,0,7,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0,3,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,1,0,0,0,0,0,0,0,0,0,0,0,346,25,5,0,0,0,0,0,0,0,0
proslikefan,23,0,0,0,0,0,1,0,0,0,53,0,0,0,0,0,3,13,0,0,2,0,0,1,0,0,554,0,114,78,0,0,0,0,4,0,0,0,41,0,0,5,0,0,30,8,0,4,3,0,13
pushdo,16,0,0,0,0,0,0,0,0,0,16,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,843,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,3,0,8,47,0,3
pykspa,26,0,0,0,0,0,16,2,0,0,35,0,1,0,0,1,7,0,0,0,0,0,0,1,0,0,63,16,309,230,1,1,8,2,7,0,0,0,60,0,0,10,0,0,116,15,0,5,4,0,14
