
Test Phase Average Duration: 0:26:34 (HH:MM:SS)

Class report: 
              precision    recall  f1-score       support
alureon        0.373149  0.414905  0.382356    4750.00000
banjori        0.982276  0.863705  0.887494    4750.00000
bedep          0.682503  0.620505  0.645338    4750.00000
ccleaner       0.998233  0.997053  0.997634    4750.00000
chinad         0.969813  0.970147  0.969950    4750.00000
corebot        0.999576  0.992674  0.996113    4750.00000
cryptolocker   0.536311  0.463242  0.494873    4750.00000
dircrypt       0.370183  0.254526  0.297525    4750.00000
dyre           0.999495  0.999242  0.999368    4750.00000
fobber_v1      0.855221  0.935411  0.893055    4750.00000
fobber_v2      0.373295  0.549011  0.435817    4750.00000
gozi_gpl       0.953295  0.954863  0.953316    4750.00000
gozi_luther    0.859641  0.891116  0.874504    4750.00000
gozi_nasa      0.797946  0.819242  0.807795    4750.00000
gozi_rfc4343   0.782426  0.764421  0.772642    4750.00000
kraken_v1      0.768096  0.734442  0.709013    4750.00000
kraken_v2      0.597751  0.382947  0.464551    4750.00000
locky          0.636192  0.506358  0.562861    4750.00000
matsnu         0.939685  0.957558  0.948276    4750.00000
murofet_v1     0.991105  0.985895  0.988469    4750.00000
murofet_v2     0.868317  0.943200  0.903977    4750.00000
murofet_v3     1.000000  0.995874  0.997932    4750.00000
necurs         0.739419  0.559158  0.629000    4750.00000
nymaim         0.913997  0.872884  0.892863    4750.00000
padcrypt       0.990736  0.988211  0.989360    4750.00000
pizd           0.822255  0.867368  0.837247    4750.00000
proslikefan    0.573459  0.573011  0.566240    4750.00000
pushdo         0.920524  0.934989  0.926722    4750.00000
pykspa         0.302071  0.343874  0.320267    4750.00000
pykspa_noise   0.282801  0.267453  0.274248    4750.00000
qadars         0.933309  0.903747  0.917846    4750.00000
qakbot         0.736276  0.464758  0.557409    4750.00000
ramdo          0.988195  0.956000  0.969380    4750.00000
ramnit         0.316279  0.418863  0.351881    4750.00000
ranbyus_v1     0.736574  0.806526  0.766285    4750.00000
ranbyus_v2     0.737398  0.781895  0.756322    4750.00000
rovnix         0.942714  0.912505  0.926947    4750.00000
shiotob        0.884017  0.815242  0.848036    4750.00000
simda          0.886449  0.863074  0.845713    4750.00000
sisron         0.996405  0.941389  0.963880    4750.00000
suppobox_1     0.831449  0.805011  0.809342    4750.00000
suppobox_2     0.940561  0.917600  0.925866    4750.00000
suppobox_3     0.986816  0.992547  0.989609    4750.00000
symmi          0.993558  0.999916  0.996727    4750.00000
tempedreve     0.415974  0.400674  0.404753    4750.00000
tinba          0.566902  0.754947  0.644025    4750.00000
vawtrak_v1     0.992921  0.886695  0.917677    4750.00000
vawtrak_v2     0.889698  0.836463  0.840326    4750.00000
vawtrak_v3     0.873718  0.940211  0.903771    4750.00000
zeus-newgoz    0.998198  0.998189  0.998191    4750.00000
legit          0.735636  0.751495  0.732908    4750.00000
accuracy       0.775510  0.775510  0.775510       0.77551
macro avg      0.789467  0.775510  0.774229  242250.00000
weighted avg   0.789467  0.775510  0.774229  242250.00000
Confusion Matrix: 
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon          9854        0      0         0       0        0   
banjori             0    20513      0         0       0        0   
bedep               1       14  14737         0       0        0   
ccleaner            0        0      0     23680       4        0   
chinad              0        0     72        14   23041        3   
corebot             0        0      0         0       1    23576   
cryptolocker        0        3    314         0       0        0   
dircrypt         1605       26   3844         0       0        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       0        0   
fobber_v2        9854        0      0         0       0        0   
gozi_gpl            0        0      0         0       0        0   
gozi_luther         0       88     16         0       0        0   
gozi_nasa           0      137      7         0       0        0   
gozi_rfc4343        0       89     21         0       0        0   
kraken_v1           0        0      0         0       0        0   
kraken_v2         909        0     65         0       0        0   
locky               0        0      0         0       0        0   
matsnu              0        7      0         0       0        0   
murofet_v1          0        0      0         0       1        0   
murofet_v2          0        0      0         0       0        0   
murofet_v3          0        0      0         0       0        0   
necurs             20        0     16         0       0        0   
nymaim              6        3      0         0       0        0   
padcrypt            0        0      4         0       0        0   
pizd                0        0      0         0       0        0   
proslikefan       286        0      0         0       0        0   
pushdo             50        1      2         0       0        0   
pykspa            237        0      0         0       0        0   
pykspa_noise      263        0      0         0       0        0   
qadars              0        0     86        25       1        0   
qakbot            232        7    460         0       0        0   
ramdo               0        0      0         0       0        0   
ramnit           1599       36   1103         0       0        0   
ranbyus_v1          0        2    350         0       0        0   
ranbyus_v2          0       13    141         0       0        0   
rovnix              0        4      0         0      12        2   
shiotob           133        0    639         3     683        0   
simda               0        0      0         0       0        0   
sisron              9        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        0   
tempedreve        995        0      0         0       0        0   
tinba               3        3     19         0       0        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2        135        0      0         0       0        0   
vawtrak_v3          8        0      0         0       0        0   
zeus-newgoz         0        0      5         0       7        5   
legit              87       15     12         0      10        0   

              cryptolocker  dircrypt   dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  0        47      0          0      13057         0   
banjori                  0       150      0          0          0         0   
bedep                  129      3071      0          0          5         0   
ccleaner                 0         0      0          0          0         0   
chinad                   6         6      0         43          0         0   
corebot                  0         0      0         16          0         0   
cryptolocker         11002       381      0         90          1        50   
dircrypt               133      6045      0          0       2201         0   
dyre                     0         0  23732          0          0         0   
fobber_v1                4         0      0      22216          0         0   
fobber_v2                0        54      0          0      13039         0   
gozi_gpl                51         0      0          0          0     22678   
gozi_luther              0        43      0          0          1         0   
gozi_nasa                1        35      0          0          0         0   
gozi_rfc4343             1        73      0          0          0         1   
kraken_v1              237         4      0          0          0         0   
kraken_v2              218       580      0          0       1220         0   
locky                 1858         0      0          0          0        14   
matsnu                   0         0      0          0          0         0   
murofet_v1               7         0      0          0          0        39   
murofet_v2             903         0      0          0          0         0   
murofet_v3               0         0      0          0          0         0   
necurs                 464       102      0        137         35         8   
nymaim                   7         0      0          0          2       198   
padcrypt                16        38      0          0          0         0   
pizd                     0         0      0          0          0         0   
proslikefan             21       139      0          0        363         0   
pushdo                   0        31      0          0        128         0   
pykspa                 403       102      0          0        345         0   
pykspa_noise           415       109      0          0        347         0   
qadars                  27         9      0          0          0         0   
qakbot                1378       990      0        822        286         0   
ramdo                  109         0      0          0          0         0   
ramnit                 223      3267      0          0       2318         0   
ranbyus_v1            1751       284      0          0          0         8   
ranbyus_v2               3       424      0       2580          0        12   
rovnix                   0         0      0          2          0       731   
shiotob                 99       114      0         25        202         0   
simda                    0         0      0          0          0         1   
sisron                 103        58      0          0          1         0   
suppobox_1               2         0      0          0          0         0   
suppobox_2               0         0      0          0          0         0   
suppobox_3               0         0      0         57          0         0   
symmi                    0         0      0          0          0         0   
tempedreve               4       247      0          0       1457         0   
tinba                 1261       240      0          0          8        12   
vawtrak_v1               4         0      0          0          0         0   
vawtrak_v2               0        39      0          0          1         0   
vawtrak_v3               0         4      0          0          1         0   
zeus-newgoz              0         1     12          0          0         0   
legit                    9        32      0          3         66        50   

              gozi_luther  gozi_nasa  gozi_rfc4343  kraken_v1  kraken_v2  \
alureon                 0          1             1          0         90   
banjori              1083          1            80          0          0   
bedep                  30          5             9         23         43   
ccleaner                0          0             0          0          0   
chinad                  1          0             0          0          1   
corebot                 0          0             0          0          0   
cryptolocker            5          1             1         50         39   
dircrypt               26          4            15         18        245   
dyre                    0          0             0          0          0   
fobber_v1               0          0             0          0          0   
fobber_v2               0          0             0          1         99   
gozi_gpl                0          0             0          0          2   
gozi_luther         21164        622          1251          0          9   
gozi_nasa             870      19457          2335          0          4   
gozi_rfc4343         1129       3308         18155          1          3   
kraken_v1               7          6             2      17443       3830   
kraken_v2               2          0             0       6165       9095   
locky                   0          0             0         39         37   
matsnu                 30        172           225          0          0   
murofet_v1              0          0             0          0          0   
murofet_v2              0          0             0          0          0   
murofet_v3              0          0             0          0          0   
necurs                  6          2             3          8        284   
nymaim                 20         86           171          0          0   
padcrypt               13          1             6          2          2   
pizd                    0          0             0          0          0   
proslikefan             0          0             0         12        139   
pushdo                 86         10            13          0          9   
pykspa                  3          0             0         29        134   
pykspa_noise            0          0             0         33        107   
qadars                  0          0             0          6          3   
