,precision,recall,f1-score,support
alureon,0.37314862206057475,0.41490526315789467,0.38235592162338705,4750.0
banjori,0.9822755244458776,0.8637052631578946,0.8874944403460159,4750.0
bedep,0.6825026194367606,0.6205052631578947,0.6453382767208801,4750.0
ccleaner,0.9982330543668422,0.9970526315789474,0.9976340093387496,4750.0
chinad,0.9698126618631768,0.9701473684210526,0.9699497112399064,4750.0
corebot,0.9995758032263691,0.9926736842105264,0.9961125260636822,4750.0
cryptolocker,0.5363105754390933,0.4632421052631579,0.4948727154803664,4750.0
dircrypt,0.37018259966185896,0.2545263157894737,0.2975250265557253,4750.0
dyre,0.9994950017721569,0.9992421052631579,0.9993678080779826,4750.0
fobber_v1,0.8552207864003248,0.9354105263157896,0.8930553449907176,4750.0
fobber_v2,0.3732952840251338,0.5490105263157894,0.43581653082667693,4750.0
gozi_gpl,0.9532946890442405,0.9548631578947369,0.9533159503882682,4750.0
gozi_luther,0.8596409158646097,0.8911157894736842,0.8745037230472656,4750.0
gozi_nasa,0.7979462859699471,0.8192421052631579,0.8077953255841779,4750.0
gozi_rfc4343,0.7824262215598282,0.764421052631579,0.7726424729819066,4750.0
kraken_v1,0.7680962841728641,0.7344421052631579,0.7090130552021828,4750.0
kraken_v2,0.597750845005921,0.38294736842105265,0.4645511042817473,4750.0
locky,0.6361922719370563,0.5063578947368421,0.5628610634357389,4750.0
matsnu,0.9396845898987944,0.957557894736842,0.9482759883613285,4750.0
murofet_v1,0.9911049774385681,0.9858947368421053,0.9884689698728286,4750.0
murofet_v2,0.8683171101947706,0.9432,0.9039765507165549,4750.0
murofet_v3,1.0,0.9958736842105264,0.9979318602757281,4750.0
necurs,0.7394188145444542,0.5591578947368421,0.6289997486873562,4750.0
nymaim,0.9139970336455434,0.8728842105263157,0.892863463273789,4750.0
padcrypt,0.99073641308473,0.9882105263157894,0.9893596677484642,4750.0
pizd,0.8222547240807577,0.8673684210526316,0.8372473355221576,4750.0
proslikefan,0.5734589921658941,0.5730105263157895,0.5662400806192128,4750.0
pushdo,0.9205240267924346,0.9349894736842105,0.9267217507326594,4750.0
pykspa,0.30207129576312364,0.34387368421052633,0.32026703777087934,4750.0
pykspa_noise,0.2828012170067626,0.2674526315789474,0.2742482430985013,4750.0
qadars,0.9333087726060695,0.9037473684210525,0.9178462076427731,4750.0
qakbot,0.736276024687475,0.46475789473684215,0.5574091933358885,4750.0
ramdo,0.9881950104673433,0.9560000000000001,0.9693796807166685,4750.0
ramnit,0.3162792132250515,0.4188631578947368,0.3518809944401334,4750.0
ranbyus_v1,0.7365737549506557,0.8065263157894738,0.7662854687045549,4750.0
ranbyus_v2,0.7373983579337499,0.7818947368421053,0.7563219834321668,4750.0
rovnix,0.9427138133202139,0.9125052631578947,0.9269469977422815,4750.0
shiotob,0.8840166765741138,0.8152421052631578,0.8480357917190279,4750.0
simda,0.8864490487183175,0.8630736842105264,0.8457129854677218,4750.0
sisron,0.9964053469267571,0.9413894736842107,0.963880116538974,4750.0
suppobox_1,0.8314490465494849,0.8050105263157896,0.8093417622547007,4750.0
suppobox_2,0.9405612312353006,0.9175999999999999,0.9258656655873129,4750.0
suppobox_3,0.9868164661062432,0.9925473684210526,0.98960877068444,4750.0
symmi,0.9935584383351157,0.9999157894736843,0.9967266247183006,4750.0
tempedreve,0.41597441474139163,0.4006736842105263,0.4047530293731604,4750.0
tinba,0.5669020257178827,0.7549473684210526,0.6440253636820871,4750.0
vawtrak_v1,0.9929212489697061,0.8866947368421053,0.9176766500866504,4750.0
vawtrak_v2,0.8896976914862845,0.8364631578947369,0.8403259261597812,4750.0
vawtrak_v3,0.8737176021923971,0.9402105263157894,0.9037706832904677,4750.0
zeus-newgoz,0.9981978924410184,0.9981894736842106,0.9981913442459731,4750.0
legit,0.7356358303960848,0.7514947368421053,0.73290792915908,4750.0
accuracy,0.775510423116615,0.775510423116615,0.775510423116615,0.775510423116615
macro avg,0.7894670029107672,0.775510423116615,0.7742293896440584,242250.0
weighted avg,0.7894670029107671,0.775510423116615,0.7742293896440584,242250.0
