,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,9854,0,0,0,0,0,0,47,0,0,13057,0,0,1,1,0,90,0,0,0,0,0,1,0,1,0,5,87,14,28,0,0,0,198,0,0,0,0,13,4,0,0,0,0,113,1,0,94,79,0,62
banjori,0,20513,0,0,0,0,0,150,0,0,0,0,1083,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,813,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1036
bedep,1,14,14737,0,0,0,129,3071,0,0,5,0,30,5,9,23,43,0,1,0,0,0,1,0,16,0,0,55,1,1,20,12,0,3585,95,564,0,299,0,5,0,0,0,0,7,1017,0,1,0,0,3
ccleaner,0,0,0,23680,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,18,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,0,0,3
chinad,0,0,72,14,23041,3,6,6,0,43,0,0,1,0,0,0,1,13,0,0,32,0,34,1,0,0,0,0,0,0,3,46,2,4,7,24,0,396,0,0,0,0,0,0,0,0,0,0,0,0,1
corebot,0,0,0,0,1,23576,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,133,0,0,0,0,0,16,0
cryptolocker,0,3,314,0,0,0,11002,381,0,90,1,50,5,1,1,50,39,1219,0,0,1564,0,400,9,23,23,0,65,225,336,0,271,35,1611,2563,128,0,3,9,4,4,0,0,1,343,2967,0,1,3,0,6
dircrypt,1605,26,3844,0,0,0,133,6045,0,0,2201,0,26,4,15,18,245,0,0,0,0,0,9,0,10,0,221,94,55,83,0,212,0,6229,103,651,0,10,25,6,0,0,0,0,405,1227,1,67,44,0,136
dyre,0,0,0,0,0,0,0,0,23732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
fobber_v1,0,0,0,0,0,0,4,0,0,22216,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,1,0,0,0,0,0,39,0,0,1,1395,1,0,0,0,1,0,69,8,0,0,0,0,0,0,0
fobber_v2,9854,0,0,0,0,0,0,54,0,0,13039,0,0,0,0,1,99,0,0,0,0,0,2,0,0,0,3,87,16,34,0,0,0,171,0,0,0,0,17,0,0,0,0,0,94,1,3,117,95,0,63
gozi_gpl,0,0,0,0,0,0,51,0,0,0,0,22678,0,0,0,0,2,24,0,11,0,0,7,89,1,0,0,2,0,0,0,1,0,0,5,2,831,0,1,0,0,0,0,0,0,23,0,0,0,0,22
gozi_luther,0,88,16,0,0,0,0,43,0,0,1,0,21164,622,1251,0,9,0,4,0,0,0,0,17,2,0,0,222,0,2,0,8,0,65,0,4,17,0,0,0,0,0,0,0,0,4,0,22,30,0,159
gozi_nasa,0,137,7,0,0,0,1,35,0,0,0,0,870,19457,2335,0,4,0,195,0,0,0,1,15,1,0,0,77,0,3,0,6,0,50,0,4,104,0,0,1,0,0,0,0,1,4,1,10,17,0,414
gozi_rfc4343,0,89,21,0,0,0,1,73,0,0,0,1,1129,3308,18155,1,3,0,167,0,0,0,0,12,20,0,0,55,0,2,0,14,0,56,0,17,129,0,0,1,0,0,0,0,0,15,0,9,17,0,455
